en,tr
Total, Toplam
Order, Sipariş
Sku, SKU
Continue to shipping, Nakliyeye devam et
Continue shopping, Alışverişe devam et
Shopping cart, Alışveriş sepeti
Product, Ürün
Price, Fiyat
Quantity, Miktar
Remove, Kaldır
Sub total, Ara toplam
Discount(${coupon}), İndirim(${coupon})
Order summary, Sipariş özeti
Taxes and shipping calculated at checkout, Vergi ve kargo ücreti ödeme sırasında hesaplanır
CHECKOUT, ÖDEME YAP
Change, Değiştir
Payment Method, Ödeme Yöntemi
Shipping Method, Kargo Yöntemi
No payment methods available, Kullanılabilir ödeme yöntemi yok
Place Order, Siparişi Onayla
My billing address is same as shipping address, Fatura adresim kargo adresimle aynı
${count} items, ${count} adet ürün
Discount, İndirim
Shipping, Kargo
No tax, Vergi yok
Tax, Vergi
Sorry, there is no available method for your address, Üzgünüz, adresiniz için uygun bir yöntem bulunmamaktadır
Please enter a shipping address in order to see shipping quotes, Kargo fiyatlandırmasını görmek için lütfen bir kargo adresi giriniz
Continue to payment, Ödemeye devam et
No payment method available, Kullanılabilir ödeme yöntemi yok
Ship to, Kargolanacak Adres
Shipment, Kargo
Thank you ${name}!, Teşekkürler ${name}!
Contact information, İletişim bilgileri
Order #${orderNumber}, Sipariş #${orderNumber}
ADD TO CART, SEPETE EKLE
Please select variant options, Lütfen varyant seçeneklerini belirleyiniz
VIEW CART (${count}), SEPETİ GÖR (${count})
JUST ADDED TO YOUR CART, SEPETİNİZE YENİ EKLENDİ
Promotion code?, Promosyon kodu?
Enter coupon code, Kupon kodunu girin
Apply, Uygula
Your cart is empty!, Sepetiniz boş!
